iter	Logloss
0	0.6677604087
1	0.6468853142
2	0.6298051623
3	0.6154411769
4	0.6034160829
5	0.5933673677
6	0.5846780442
7	0.5772635716
8	0.5711010567
9	0.5658512994
10	0.5612572034
11	0.5571940775
12	0.5538287508
13	0.5510289834
14	0.5484723436
15	0.5462053525
16	0.54431595
17	0.5426694616
18	0.5411132117
19	0.5398331941
20	0.5386377615
21	0.5375747303
22	0.5365987938
23	0.5357802373
24	0.5350378705
25	0.5343139381
26	0.5337071588
27	0.5331811219
28	0.5327039567
29	0.5322365987
30	0.5317837024
31	0.5314133654
32	0.5310722661
33	0.5306862634
34	0.5303255339
35	0.5300221181
36	0.5297409024
37	0.5293866765
38	0.5291637861
39	0.5289126789
40	0.5286495703
41	0.5284441652
42	0.5282349244
43	0.528015807
44	0.5278555252
45	0.527642575
46	0.5274862288
47	0.5272951862
48	0.527067876
49	0.5269404944
50	0.5267541093
51	0.5265833961
52	0.5264155801
53	0.526259973
54	0.5261480807
55	0.52593915
56	0.5258550267
57	0.5257025341
58	0.5255918886
59	0.5254481573
60	0.5253375386
61	0.5252024357
62	0.5250915854
63	0.5250780782
64	0.5249108085
65	0.5247375264
66	0.5246442886
67	0.5245380773
68	0.5243843574
69	0.5242756825
70	0.5241076227
71	0.524006097
72	0.5238797555
73	0.5237688908
74	0.5236700316
75	0.5235888986
76	0.5234817376
77	0.5234103029
78	0.523279002
79	0.523217872
80	0.5231464486
81	0.5230470468
82	0.5229553846
83	0.5228886132
84	0.5227825299
85	0.5226738947
86	0.5225541143
87	0.5224571601
88	0.5223863444
89	0.5222689287
90	0.5221650493
91	0.522061161
92	0.5218852639
93	0.5217676469
94	0.5216859756
95	0.5215706177
96	0.5214971865
97	0.5214080839
98	0.5213130225
99	0.5211976375
