iter	Passed	Remaining
0	155	15387
1	299	14662
2	501	16223
3	674	16196
4	862	16384
5	1045	16380
6	1225	16278
7	1412	16238
8	1585	16034
9	1763	15874
10	1933	15640
11	2094	15361
12	2261	15134
13	2438	14979
14	2615	14823
15	2788	14640
16	2955	14431
17	3127	14248
18	3289	14023
19	3454	13816
20	3625	13637
21	3790	13438
22	3962	13265
23	4138	13105
24	4297	12892
25	4463	12704
26	4631	12521
27	4796	12333
28	4961	12146
29	5126	11961
30	5303	11803
31	5510	11709
32	5691	11555
33	5915	11483
34	6122	11370
35	6303	11206
36	6463	11005
37	6638	10831
38	6835	10691
39	7050	10576
40	7255	10441
41	7453	10293
42	7655	10148
43	7870	10017
44	8068	9861
45	8279	9718
46	8459	9539
47	8636	9355
48	8817	9177
49	8989	8989
50	9182	8822
51	9353	8634
52	9533	8453
53	9713	8274
54	9894	8095
55	10069	7912
56	10232	7718
57	10402	7533
58	10579	7351
59	10771	7180
60	10965	7010
61	11156	6837
62	11324	6651
63	11392	6408
64	11566	6228
65	11736	6046
66	11897	5860
67	12059	5675
68	12231	5495
69	12409	5318
70	12593	5143
71	12755	4960
72	12922	4779
73	13083	4596
74	13243	4414
75	13402	4232
76	13560	4050
77	13716	3868
78	13878	3689
79	14027	3506
80	14188	3328
81	14349	3149
82	14507	2971
83	14663	2793
84	14822	2615
85	14984	2439
86	15147	2263
87	15310	2087
88	15467	1911
89	15641	1737
90	15801	1562
91	15957	1387
92	16129	1214
93	16294	1040
94	16454	866
95	16625	692
96	16784	519
97	16949	345
98	17113	172
99	17275	0
